RESULT_COUNT: 2546,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1,IDENTIFIER: AAPL
DATE,MARKETCAP
2015-09-21,665118735790.0
2015-09-18,654958081550.0
2015-09-17,657671438080.0
2015-09-16,672046454590.0
2015-09-15,671295951720.0
2015-09-14,665696045690.0
2015-09-11,659345636790.0
2015-09-10,649877754430.0
2015-09-09,635906854850.0
2015-09-08,648376748690.0
2015-09-04,630826527730.0
2015-09-03,637176936630.0
2015-09-02,648549941660.0
2015-09-01,621878224280.0
2015-08-31,650974643240.0
2015-08-28,654034385710.0
2015-08-27,651898339080.0
2015-08-26,633251229310.0
2015-08-25,598901290260.0
2015-08-24,595321968880.0
2015-08-21,610562950240.0
2015-08-20,650339602350.0
2015-08-19,663964115990.0
2015-08-18,672566033500.0
2015-08-17,676376278840.0
2015-08-14,669448560040.0
2015-08-13,664772349850.0
2015-08-12,665291928760.0
2015-08-11,655189005510.0
2015-08-10,691155412280.0
2015-08-07,666908396480.0
2015-08-06,664656887870.0
2015-08-05,666215624600.0
2015-08-04,661828069360.0
2015-08-03,683765845560.0
2015-07-31,700276908700.0
2015-07-30,706454124630.0
2015-07-29,710033446010.0
2015-07-28,712284954620.0
2015-07-27,708763364230.0
2015-07-24,718750825500.0
2015-07-23,722561070840.0
2015-07-22,722907456780.0
2015-07-21,754832694250.0
2015-07-20,762453184930.0
2015-07-17,748309092380.0
2015-07-16,741900952490.0
2015-07-15,732144415180.0
2015-07-14,725158965390.0
2015-07-13,725447620340.0
2015-07-10,711707644720.0
2015-07-09,693175996930.0
2015-07-08,707608744430.0
2015-07-07,725620813310.0
2015-07-06,727410474000.0
2015-07-02,729950637560.0
2015-07-01,730874333400.0
2015-06-30,724090942075.0
2015-06-29,718924018470.0
2015-06-26,731740298250.0
2015-06-25,743944395000.0
2015-06-24,747503658380.0
2015-06-23,741202011740.0
2015-06-22,744586229380.0
2015-06-19,738693022800.0
2015-06-18,746161641040.0
2015-06-17,742777423400.0
2015-06-16,744527880800.0
2015-06-15,740560177360.0
2015-06-12,742018891860.0
2015-06-11,750304390220.0
2015-06-10,751996499040.0
2015-06-09,743477606360.0
2015-06-08,745694852400.0
2015-06-05,750654481700.0
2015-06-04,754797230880.0
2015-06-03,759231722960.0
2015-06-02,758298145680.0
2015-06-01,761653189030.0
2015-05-29,760165300240.0
2015-05-28,768917587240.0
2015-05-27,770463824610.0
2015-05-26,756314293960.0
2015-05-22,773352079320.0
2015-05-21,766641992620.0
2015-05-20,758881631480.0
2015-05-19,758939980060.0
2015-05-18,759640163020.0
2015-05-15,751354664660.0
2015-05-14,752404939100.0
2015-05-13,735250456580.0
2015-05-12,734404402170.0
2015-05-11,737059262560.0
2015-05-08,744644577960.0
2015-05-07,730874313080.0
2015-05-06,729415598580.0
2015-05-05,734025136400.0
